idnr;ccode;cname;ambisjon;bnppc;medlem;grseter;høyre;hybrid;venstre;kullprod;andel;PAmål
1;AUT;Østerrike;37;53116;21;13;0;1;0;0;33.5;36
2;BEL;Belgia;35;49632;60;4;1;0;0;0;8.0;35
3;BGR;Bulgaria;26;19605;9;0;1;0;0;35.9;18.3;0
4;HRV;Croatia;43;24447;4;0.6;0;0;1;0;29.0;7
5;CYP;Kypros;30;34376;13;1.7;1;0;0;0;9.9;24
6;CZE;Tsjekkia;33;36307;13;0;0;1;0;46.3;15.1;14
7;DNK;Danmark;49;53046;43;0;0;0;1;0;30.9;39
8;EST;Estland;24;31222;12;0;1;0;0;0;28.2;13
9;FIN;Finland;42;44974;21;5;0;1;0;0;39.3;39
10;FRA;Frankrike;65;43553;59;2.9;0;0;1;0;15.0;37
11;DEU;Tyskland;45;51375;59;9.9;0;1;0;184.8;14.9;38
12;GRC;Hellas;32;28051;35;0;0;1;0;45.4;15.7;16
13;HUN;Ungarn;32;27842;12;0;1;0;0;9.3;14.5;7
14;IRL;Irland;21;71243;43;0;1;0;0;0;9.1;30
15;ITA;Italia;41;40445;59;0;0;0;1;0;17.5;33
16;LVA;Latvia;41;26634;13;21;1;0;0;0;37.5;6
17;LTU;Litauen;42;30807;13;0.7;0;0;1;0;25.8;9
18;LUX;Luxemburg;56;110952;59;10;0;1;0;0;5.0;40
19;MLT;Malta;30;40159;12;0;0;0;1;0;5.1;19
20;NLD;Nederland;58;53223;60;2.6;1;0;0;0;5.7;36
21;POL;Polen;16;27885;13;0;1;0;0;135.3;11.7;7
22;PRT;Portugal;66;31158;31;0;1;0;0;0;30.5;17
23;ROU;Romania;33;23920;10;0;0;0;1;25.3;24.8;2
24;SVK;Slovakia;34;29456;12;0;0;0;1;1.8;12.9;12
25;SVN;Slovenia;34;33957;12;0;0;0;1;3.2;21.9;15
26;ESP;Spania;35;37421;31;0;1;0;0;3.0;16.2;26
27;SWE;Sverige;77;51705;21;7.1;0;0;1;0;53.0;40
28;GBR;Storbritannia;37;44850;43;0.1;1;0;0;8.5;8.3;37
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;